3,"(27, 22.5)"
4,"(19, 4.25)"
5,"(35.5, 29)"
6,"(15.25, 9.75)"
7,"(10.5, 26.5)"
8,"(28.25, 9.75)"
9,"(10.25, 8.5)"
10,"(19.25, 31.5)"
11,"(41.75, 18.75)"
12,"(36, 9.5)"
1,"(5.5, 22.75)"
2,"(22.25, 19.25)"
3,"(24.75, 23.5)"
4,"(19.75, 2.75)"
5,"(35.25, 30)"
6,"(15, 9.25)"
7,"(11.25, 26.75)"
8,"(28.75, 9.5)"
9,"(10, 10.5)"
10,"(19.25, 25.25)"
11,"(42.5, 19.25)"
12,"(36.25, 9.25)"
1,"(5, 23)"
2,"(22.75, 19.75)"
3,"(25, 22.5)"
4,"(19.75, 4.25)"
5,"(35.5, 29.5)"
6,"(15.25, 9.75)"
7,"(10.75, 27.5)"
8,"(28.75, 9.5)"
9,"(10, 11)"
10,"(19.25, 24.75)"
11,"(42.25, 19.75)"
12,"(36.25, 9.5)"
1,"(8.5, 23.25)"
2,"(21.25, 19)"
3,"(24.5, 22.5)"
4,"(19.75, 5.25)"
5,"(35.5, 28.75)"
6,"(16, 10)"
7,"(10.5, 25.5)"
8,"(28, 9.5)"
9,"(9.75, 12.25)"
10,"(20, 26.75)"
11,"(40.25, 18.75)"
12,"(35.75, 11)"
1,"(7, 23.5)"
2,"(25.5, 19)"
3,"(20.5, 23.25)"
4,"(19, 5.25)"
5,"(36, 28.75)"
6,"(16.25, 10)"
